N,T1,T2,T3,T4,LR,M,E
0,0,1,0,0,R,A,0
1,0,0,0,1,R,C,2
2,0,1,0,0,R,A,2
3,0,0,1,0,R,B,2
4,0,0,0,1,R,C,0
5,0,0,0,1,R,C,0
6,0,0,1,0,R,B,2
7,0,0,1,0,R,B,2
8,0,0,0,1,R,C,2
9,0,0,1,0,R,B,2
10,0,0,0,1,R,C,2
11,0,0,0,1,R,C,0
12,0,0,0,1,R,C,0
13,0,0,1,0,R,B,2
14,0,1,0,0,R,A,0
15,0,1,0,0,R,A,0
16,0,0,0,1,R,C,2
17,0,0,1,0,R,B,0
18,0,0,1,0,R,B,0
19,0,1,0,0,R,A,0
20,0,0,1,0,R,B,0
21,0,0,0,1,R,C,2
22,0,0,0,1,R,C,0
23,0,1,0,0,R,A,2
24,0,0,1,0,R,B,0
25,0,1,0,0,R,A,0
26,0,1,0,0,R,A,2
27,0,0,1,0,R,B,0
28,0,1,0,0,R,A,2
29,0,1,0,0,R,A,2
