N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,L
3,1,0,0,L,A,L
4,0,0,1,R,B,R
5,0,1,0,R,A,R
6,0,0,1,R,C,R
7,0,1,0,R,A,R
8,1,0,0,L,C,L
9,0,0,1,R,B,R
10,0,1,0,R,A,R
11,0,0,1,R,C,L
12,1,0,0,L,A,L
13,0,0,1,R,B,R
14,0,1,0,R,A,R
15,0,0,1,R,C,R
16,1,0,0,L,A,L
17,0,1,0,L,B,L
18,0,0,1,R,C,L
19,0,1,0,R,A,R
20,0,0,1,R,C,R
21,0,1,0,R,A,R
22,0,0,1,R,C,R
23,1,0,0,L,A,L
24,0,0,1,R,B,R
25,1,0,0,L,A,L
26,0,1,0,L,B,L
27,0,0,1,R,C,L
28,0,1,0,R,A,R
29,0,0,1,R,C,R
30,1,0,0,L,A,L
31,0,0,1,R,B,L
32,1,0,0,L,A,L
33,0,0,1,R,B,R
34,1,0,0,L,A,L
35,0,0,1,R,B,R
36,0,1,0,R,A,R
37,1,0,0,L,C,L
38,0,1,0,L,B,L
39,0,0,1,R,C,L
