N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,1,0,0,L,C,R
3,0,0,1,R,B,R
4,1,0,0,L,A,L
5,0,1,0,L,B,L
6,0,0,1,R,C,R
7,1,0,0,L,A,R
8,0,0,1,R,B,R
9,0,1,0,R,A,R
10,0,0,1,R,C,L
11,1,0,0,L,A,L
12,0,0,1,R,B,R
13,1,0,0,L,A,L
14,0,1,0,L,B,L
15,0,0,1,R,C,R
16,1,0,0,L,A,L
17,0,1,0,L,B,L
18,0,0,1,R,C,L
19,0,1,0,R,A,R
20,0,0,1,R,C,R
21,0,1,0,R,A,R
22,0,0,1,R,C,R
23,1,0,0,L,A,L
24,0,0,1,R,B,L
25,1,0,0,L,A,L
26,0,1,0,L,B,R
27,1,0,0,L,C,L
28,0,0,1,R,B,L
29,1,0,0,L,A,L
30,0,1,0,L,B,L
31,0,0,1,R,C,R
32,0,1,0,R,A,R
33,1,0,0,L,C,L
34,0,1,0,L,B,L
35,0,0,1,R,C,R
36,0,1,0,R,A,R
37,1,0,0,L,C,L
38,0,1,0,L,B,L
39,0,0,1,R,C,R
