N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,L
1,0,1,0,L,B,L
2,0,0,1,R,C,R
3,0,1,0,R,A,R
4,1,0,0,L,C,R
5,0,0,1,R,B,R
6,0,1,0,R,A,L
7,0,0,1,R,C,R
8,1,0,0,L,A,R
9,0,1,0,L,B,R
10,0,0,1,R,C,R
11,1,0,0,L,A,R
12,0,1,0,L,B,R
13,0,0,1,R,C,L
14,1,0,0,L,A,L
15,0,1,0,L,B,R
16,1,0,0,L,C,L
17,0,0,1,R,B,R
18,0,1,0,R,A,L
19,1,0,0,L,C,L
20,0,0,1,R,B,R
21,0,1,0,R,A,L
22,0,0,1,R,C,R
23,1,0,0,L,A,L
24,0,1,0,L,B,L
25,0,0,1,R,C,L
26,1,0,0,L,A,L
27,0,1,0,L,B,R
28,0,0,1,R,C,L
29,1,0,0,L,A,L
30,0,1,0,L,B,R
31,1,0,0,L,C,L
32,0,0,1,R,B,R
33,0,1,0,R,A,L
34,1,0,0,L,C,R
35,0,0,1,R,B,L
36,0,1,0,R,A,L
37,0,0,1,R,C,L
38,0,1,0,R,A,R
39,1,0,0,L,C,R
