N,L,C,R,M,E
0,0,1,0,B,0
1,0,0,1,C,1
2,0,1,0,B,0
3,0,1,0,B,1
4,0,1,0,B,0
5,0,1,0,A,0
6,0,1,0,A,0
7,0,1,0,C,0
8,0,1,0,C,0
9,0,1,0,B,1
10,0,1,0,C,0
11,0,1,0,C,1
12,0,1,0,A,0
13,0,1,0,A,0
14,0,1,0,C,1
15,0,1,0,C,0
16,0,0,1,A,1
17,0,1,0,B,1
18,0,1,0,A,1
19,0,1,0,B,0
20,0,1,0,C,1
21,0,1,0,B,1
22,0,1,0,A,0
23,0,1,0,B,1
24,0,1,0,B,0
25,0,1,0,A,1
26,0,1,0,A,1
27,0,1,0,C,0
28,0,1,0,A,1
29,0,1,0,C,1
