N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,1,0,0,L,C,R
3,0,0,1,R,B,R
4,0,1,0,R,A,L
5,1,0,0,L,C,L
6,0,0,1,R,B,L
7,0,1,0,R,A,L
8,0,0,1,R,C,L
9,1,0,0,L,A,L
10,0,0,1,R,B,R
11,0,1,0,R,A,R
12,1,0,0,L,C,L
13,0,0,1,R,B,L
14,0,1,0,R,A,L
15,1,0,0,L,C,L
16,0,0,1,R,B,L
17,0,1,0,R,A,R
18,1,0,0,L,C,L
19,0,0,1,R,B,L
20,0,1,0,R,A,L
21,0,0,1,R,C,R
22,1,0,0,L,A,R
23,0,0,1,R,B,L
24,0,1,0,R,A,R
25,1,0,0,L,C,L
26,0,0,1,R,B,R
27,0,1,0,R,A,L
28,0,0,1,R,C,R
29,1,0,0,L,A,R
30,0,1,0,L,B,R
31,0,0,1,R,C,R
32,1,0,0,L,A,R
33,0,0,1,R,B,L
34,0,1,0,R,A,R
35,0,0,1,R,C,R
36,1,0,0,L,A,L
37,0,0,1,R,B,L
38,0,1,0,R,A,R
39,0,0,1,R,C,R
