N,T1,T2,T3,T4,LR,M,E
0,0,0,0,1,R,C,1
1,0,1,0,0,R,A,1
2,0,0,1,0,R,B,0
3,0,0,1,0,R,B,1
4,0,0,0,1,R,C,1
5,0,0,1,0,R,B,0
6,0,1,0,0,R,A,1
7,0,0,1,0,R,B,0
8,0,1,0,0,R,A,0
9,0,0,0,1,R,C,0
10,0,1,0,0,R,A,1
11,0,1,0,0,R,A,0
12,0,0,0,1,R,C,0
13,0,0,0,1,R,C,0
14,0,0,0,1,R,C,1
15,0,0,1,0,R,B,0
16,0,0,1,0,R,B,1
17,0,0,1,0,R,B,1
18,0,1,0,0,R,A,0
19,0,0,0,1,R,C,0
20,0,1,0,0,R,A,0
21,0,0,1,0,R,B,1
22,0,0,1,0,R,B,1
23,0,0,1,0,R,B,0
24,0,1,0,0,R,A,1
25,0,0,0,1,R,C,0
26,0,1,0,0,R,A,1
27,0,0,0,1,R,C,1
28,0,1,0,0,R,A,0
29,0,0,0,1,R,C,1
