N,L,C,R,M,E
0,0,0,1,C,1
1,0,1,0,A,1
2,1,0,0,B,0
3,0,0,1,A,0
4,0,1,0,C,1
5,1,0,0,A,1
6,0,1,0,B,0
7,0,0,1,A,1
8,0,1,0,C,1
9,1,0,0,A,0
10,0,1,0,B,1
11,1,0,0,B,0
12,0,1,0,B,0
13,0,0,1,A,0
14,0,1,0,A,0
15,1,0,0,B,1
16,0,0,1,C,0
17,0,1,0,A,1
18,1,0,0,B,1
19,0,0,1,C,1
20,0,1,0,C,1
21,0,0,1,C,0
22,1,0,0,A,1
23,0,1,0,C,0
24,1,0,0,B,0
25,0,1,0,C,0
26,0,1,0,B,1
27,0,0,1,A,0
28,0,1,0,C,0
29,1,0,0,B,1
