N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,L
2,0,0,1,R,C,L
3,0,1,0,R,A,L
4,1,0,0,L,C,L
5,0,1,0,L,B,L
6,1,0,0,L,C,R
7,0,0,1,R,B,L
8,0,1,0,R,A,L
9,0,0,1,R,C,L
10,0,1,0,R,A,L
11,0,0,1,R,C,R
12,1,0,0,L,A,L
13,0,1,0,L,B,L
14,0,0,1,R,C,R
15,0,1,0,R,A,L
16,0,0,1,R,C,R
17,1,0,0,L,A,R
18,0,1,0,L,B,R
19,0,0,1,R,C,R
20,0,1,0,R,A,R
21,0,0,1,R,C,R
22,1,0,0,L,A,L
23,0,1,0,L,B,L
24,0,0,1,R,C,R
25,0,1,0,R,A,R
26,0,0,1,R,C,R
27,0,1,0,R,A,R
28,0,0,1,R,C,R
29,0,1,0,R,A,L
30,0,0,1,R,C,R
31,1,0,0,L,A,L
32,0,1,0,L,B,R
33,0,0,1,R,C,L
34,0,1,0,R,A,L
35,0,0,1,R,C,R
36,1,0,0,L,A,R
37,0,0,1,R,B,L
38,0,1,0,R,A,L
39,1,0,0,L,C,R
