N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,0,0,1,R,C,L
3,0,1,0,R,A,R
4,0,0,1,R,C,L
5,0,1,0,R,A,R
6,0,0,1,R,C,R
7,1,0,0,L,A,L
8,0,1,0,L,B,L
9,0,0,1,R,C,L
10,0,1,0,R,A,R
11,0,0,1,R,C,L
12,1,0,0,L,A,L
13,0,1,0,L,B,L
14,0,0,1,R,C,L
15,0,1,0,R,A,R
16,0,0,1,R,C,R
17,1,0,0,L,A,L
18,0,0,1,R,B,R
19,0,1,0,R,A,R
20,0,0,1,R,C,L
21,0,1,0,R,A,R
22,1,0,0,L,C,L
23,0,1,0,L,B,L
24,0,0,1,R,C,R
25,0,1,0,R,A,R
26,0,0,1,R,C,R
27,0,1,0,R,A,R
28,0,0,1,R,C,R
29,1,0,0,L,A,L
30,0,1,0,L,B,L
31,1,0,0,L,C,R
32,0,1,0,L,B,L
33,0,0,1,R,C,L
34,0,1,0,R,A,R
35,1,0,0,L,C,L
36,0,0,1,R,B,R
37,1,0,0,L,A,L
38,0,1,0,L,B,R
39,0,0,1,R,C,L
