N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,1,0,0,L,C,L
3,0,0,1,R,B,L
4,0,1,0,R,A,L
5,1,0,0,L,C,R
6,0,0,1,R,B,L
7,0,1,0,R,A,L
8,1,0,0,L,C,L
9,0,0,1,R,B,R
10,0,1,0,R,A,L
11,1,0,0,L,C,R
12,0,0,1,R,B,R
13,1,0,0,L,A,L
14,0,0,1,R,B,L
15,0,1,0,R,A,L
16,1,0,0,L,C,R
17,0,0,1,R,B,R
18,0,1,0,R,A,R
19,1,0,0,L,C,R
20,0,0,1,R,B,R
21,0,1,0,R,A,L
22,0,0,1,R,C,L
23,1,0,0,L,A,L
24,0,0,1,R,B,L
25,0,1,0,R,A,R
26,1,0,0,L,C,R
27,0,0,1,R,B,R
28,0,1,0,R,A,L
29,1,0,0,L,C,L
30,0,0,1,R,B,R
31,0,1,0,R,A,L
32,1,0,0,L,C,R
33,0,0,1,R,B,L
34,1,0,0,L,A,R
35,0,0,1,R,B,R
36,0,1,0,R,A,L
37,1,0,0,L,C,R
38,0,0,1,R,B,R
39,0,1,0,R,A,R
