N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,L
2,1,0,0,L,C,R
3,0,1,0,L,B,L
4,0,0,1,R,C,R
5,0,1,0,R,A,L
6,1,0,0,L,C,R
7,0,1,0,L,B,R
8,0,0,1,R,C,L
9,0,1,0,R,A,R
10,1,0,0,L,C,R
11,0,1,0,L,B,R
12,0,0,1,R,C,L
13,0,1,0,R,A,R
14,1,0,0,L,C,R
15,0,0,1,R,B,L
16,0,1,0,R,A,R
17,1,0,0,L,C,R
18,0,0,1,R,B,L
19,0,1,0,R,A,L
20,1,0,0,L,C,R
21,0,1,0,L,B,L
22,0,0,1,R,C,L
23,0,1,0,R,A,R
24,1,0,0,L,C,R
25,0,0,1,R,B,L
26,0,1,0,R,A,R
27,1,0,0,L,C,R
28,0,0,1,R,B,L
29,0,1,0,R,A,R
30,1,0,0,L,C,L
31,0,0,1,R,B,R
32,0,1,0,R,A,L
33,1,0,0,L,C,L
34,0,0,1,R,B,L
35,0,1,0,R,A,R
36,1,0,0,L,C,L
37,0,0,1,R,B,L
38,0,1,0,R,A,R
39,0,0,1,R,C,L
