N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,1,0,0,L,A,L
2,0,0,1,R,B,R
3,0,1,0,R,A,L
4,0,0,1,R,C,L
5,0,1,0,R,A,R
6,0,0,1,R,C,L
7,0,1,0,R,A,L
8,0,0,1,R,C,R
9,0,1,0,R,A,R
10,1,0,0,L,C,L
11,0,0,1,R,B,R
12,1,0,0,L,A,L
13,0,0,1,R,B,R
14,0,1,0,R,A,R
15,1,0,0,L,C,L
16,0,0,1,R,B,L
17,0,1,0,R,A,R
18,0,0,1,R,C,R
19,0,1,0,R,A,L
20,1,0,0,L,C,L
21,0,0,1,R,B,R
22,1,0,0,L,A,R
23,0,1,0,L,B,L
24,1,0,0,L,C,R
25,0,1,0,L,B,R
26,1,0,0,L,C,L
27,0,1,0,L,B,R
28,1,0,0,L,C,R
29,0,1,0,L,B,R
30,1,0,0,L,C,L
31,0,0,1,R,B,R
32,0,1,0,R,A,L
33,1,0,0,L,C,L
34,0,0,1,R,B,R
35,0,1,0,R,A,L
36,1,0,0,L,C,R
37,0,0,1,R,B,L
38,0,1,0,R,A,R
39,1,0,0,L,C,L
