N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,R
3,0,1,0,R,A,L
4,1,0,0,L,C,L
5,0,0,1,R,B,R
6,1,0,0,L,A,L
7,0,0,1,R,B,R
8,1,0,0,L,A,L
9,0,1,0,L,B,L
10,0,0,1,R,C,L
11,1,0,0,L,A,L
12,0,0,1,R,B,L
13,1,0,0,L,A,L
14,0,1,0,L,B,L
15,0,0,1,R,C,R
16,1,0,0,L,A,L
17,0,0,1,R,B,R
18,0,1,0,R,A,R
19,0,0,1,R,C,R
20,0,1,0,R,A,R
21,1,0,0,L,C,L
22,0,0,1,R,B,R
23,1,0,0,L,A,L
24,0,0,1,R,B,R
25,0,1,0,R,A,L
26,0,0,1,R,C,L
27,1,0,0,L,A,L
28,0,0,1,R,B,R
29,0,1,0,R,A,R
30,0,0,1,R,C,R
31,1,0,0,L,A,L
32,0,0,1,R,B,R
33,0,1,0,R,A,R
34,0,0,1,R,C,R
35,0,1,0,R,A,R
36,1,0,0,L,C,R
37,0,1,0,L,B,L
38,0,0,1,R,C,R
39,1,0,0,L,A,L
