N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,N
1,1,0,0,L,A,N
2,0,1,0,L,B,N
3,0,0,1,R,C,N
4,1,0,0,L,A,N
5,0,1,0,L,B,N
6,0,0,1,R,C,N
7,1,0,0,L,A,N
8,0,1,0,L,B,N
9,0,0,1,R,C,N
10,1,0,0,L,A,N
11,0,1,0,L,B,N
12,1,0,0,L,C,N
13,0,0,1,R,B,N
14,0,1,0,R,A,N
15,1,0,0,L,C,N
16,0,1,0,L,B,N
17,1,0,0,L,C,N
18,0,0,1,R,B,N
19,1,0,0,L,A,N
