N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,1,0,0,L,C,L
3,0,0,1,R,B,R
4,1,0,0,L,A,R
5,0,1,0,L,B,L
6,1,0,0,L,C,L
7,0,0,1,R,B,R
8,1,0,0,L,A,R
9,0,1,0,L,B,R
10,0,0,1,R,C,L
11,1,0,0,L,A,L
12,0,1,0,L,B,L
13,0,0,1,R,C,R
14,0,1,0,R,A,L
15,0,0,1,R,C,R
16,1,0,0,L,A,L
17,0,1,0,L,B,L
18,0,0,1,R,C,L
19,1,0,0,L,A,L
20,0,1,0,L,B,R
21,1,0,0,L,C,R
22,0,0,1,R,B,L
23,0,1,0,R,A,R
24,1,0,0,L,C,L
25,0,0,1,R,B,L
26,0,1,0,R,A,L
27,1,0,0,L,C,R
28,0,0,1,R,B,L
29,0,1,0,R,A,R
30,1,0,0,L,C,R
31,0,0,1,R,B,L
32,0,1,0,R,A,R
33,1,0,0,L,C,R
34,0,0,1,R,B,R
35,0,1,0,R,A,R
36,0,0,1,R,C,R
37,1,0,0,L,A,L
38,0,1,0,L,B,L
39,0,0,1,R,C,L
