N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,0,0,1,R,C,R
3,0,1,0,R,A,L
4,0,0,1,R,C,R
5,0,1,0,R,A,R
6,0,0,1,R,C,L
7,0,1,0,R,A,L
8,0,0,1,R,C,R
9,0,1,0,R,A,L
10,0,0,1,R,C,R
11,1,0,0,L,A,R
12,0,1,0,L,B,L
13,0,0,1,R,C,L
14,0,1,0,R,A,R
15,0,0,1,R,C,R
16,1,0,0,L,A,L
17,0,0,1,R,B,L
18,1,0,0,L,A,R
19,0,1,0,L,B,L
20,0,0,1,R,C,L
21,1,0,0,L,A,R
22,0,0,1,R,B,R
23,1,0,0,L,A,L
24,0,0,1,R,B,R
25,1,0,0,L,A,L
26,0,0,1,R,B,R
27,1,0,0,L,A,L
28,0,0,1,R,B,L
29,1,0,0,L,A,L
30,0,0,1,R,B,L
31,1,0,0,L,A,R
32,0,1,0,L,B,L
33,1,0,0,L,C,L
34,0,1,0,L,B,R
35,0,0,1,R,C,R
36,0,1,0,R,A,R
37,1,0,0,L,C,L
38,0,0,1,R,B,R
39,0,1,0,R,A,L
