N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,L
1,0,1,0,L,B,L
2,0,0,1,R,C,L
3,1,0,0,L,A,R
4,0,1,0,L,B,L
5,0,0,1,R,C,R
6,1,0,0,L,A,L
7,0,1,0,L,B,L
8,1,0,0,L,C,L
9,0,0,1,R,B,R
10,0,1,0,R,A,R
11,1,0,0,L,C,R
12,0,0,1,R,B,R
13,1,0,0,L,A,L
14,0,0,1,R,B,R
15,0,1,0,R,A,R
16,0,0,1,R,C,R
17,0,1,0,R,A,R
18,1,0,0,L,C,L
19,0,0,1,R,B,R
20,0,1,0,R,A,R
21,1,0,0,L,C,L
22,0,1,0,L,B,L
23,1,0,0,L,C,L
24,0,1,0,L,B,L
25,0,0,1,R,C,R
26,0,1,0,R,A,L
27,0,0,1,R,C,R
28,1,0,0,L,A,R
29,0,1,0,L,B,R
30,0,0,1,R,C,R
31,1,0,0,L,A,R
32,0,1,0,L,B,L
33,0,0,1,R,C,R
34,1,0,0,L,A,L
35,0,1,0,L,B,L
36,1,0,0,L,C,L
37,0,1,0,L,B,L
38,1,0,0,L,C,R
39,0,0,1,R,B,L
