N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,N
1,0,1,0,R,A,N
2,0,0,1,R,C,N
3,0,1,0,R,A,N
4,1,0,0,L,C,N
5,0,1,0,L,B,N
6,1,0,0,L,C,N
7,0,0,1,R,B,N
8,0,1,0,R,A,N
9,0,0,1,R,C,N
10,0,1,0,R,A,N
11,0,0,1,R,C,N
12,0,1,0,R,A,N
13,0,0,1,R,C,N
14,1,0,0,L,A,N
15,0,1,0,L,B,N
16,0,0,1,R,C,N
17,0,1,0,R,A,N
18,0,0,1,R,C,N
19,0,1,0,R,A,N
