N,T1,T2,T3,T4,LR,M,E
0,0,0,1,0,L,C,0
1,0,0,1,0,L,C,2
2,0,0,1,0,L,C,2
3,0,0,1,0,R,B,0
4,0,1,0,0,R,A,2
5,0,0,1,0,R,B,2
6,0,1,0,0,R,A,0
7,0,0,1,0,L,C,0
8,0,0,1,0,R,B,2
9,0,1,0,0,R,A,2
10,0,1,0,0,R,A,2
11,0,0,1,0,L,C,0
12,0,0,1,0,L,C,0
13,0,0,1,0,L,C,2
14,0,1,0,0,R,A,0
15,0,0,1,0,R,B,2
16,0,1,0,0,R,A,0
17,0,0,1,0,R,B,2
18,0,0,1,0,R,B,0
19,0,1,0,0,R,A,2
20,0,0,1,0,L,C,2
21,0,0,1,0,L,C,2
22,0,0,1,0,R,B,2
23,0,1,0,0,R,A,2
24,0,0,1,0,R,B,0
25,0,0,1,0,R,B,0
26,0,1,0,0,R,A,0
27,0,0,1,0,L,C,0
28,0,0,1,0,R,B,0
29,0,1,0,0,R,A,0
