N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,L
1,0,1,0,L,B,L
2,1,0,0,L,C,R
3,0,0,1,R,B,R
4,0,1,0,R,A,L
5,0,0,1,R,C,L
6,1,0,0,L,A,R
7,0,1,0,L,B,R
8,0,0,1,R,C,R
9,1,0,0,L,A,R
10,0,1,0,L,B,R
11,0,0,1,R,C,R
12,0,1,0,R,A,L
13,1,0,0,L,C,R
14,0,0,1,R,B,R
15,1,0,0,L,A,R
16,0,1,0,L,B,L
17,0,0,1,R,C,L
18,1,0,0,L,A,L
19,0,1,0,L,B,R
20,0,0,1,R,C,L
21,1,0,0,L,A,L
22,0,1,0,L,B,R
23,0,0,1,R,C,L
24,0,1,0,R,A,R
25,0,0,1,R,C,L
26,1,0,0,L,A,L
27,0,1,0,L,B,L
28,0,0,1,R,C,R
29,1,0,0,L,A,L
30,0,1,0,L,B,R
31,0,0,1,R,C,R
32,0,1,0,R,A,R
33,0,0,1,R,C,R
34,1,0,0,L,A,L
35,0,1,0,L,B,L
36,0,0,1,R,C,L
37,1,0,0,L,A,R
38,0,0,1,R,B,L
39,0,1,0,R,A,L
