N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,L
3,1,0,0,L,A,L
4,0,0,1,R,B,R
5,0,1,0,R,A,L
6,0,0,1,R,C,R
7,1,0,0,L,A,L
8,0,0,1,R,B,L
9,0,1,0,R,A,L
10,0,0,1,R,C,R
11,1,0,0,L,A,R
12,0,1,0,L,B,R
13,0,0,1,R,C,L
14,0,1,0,R,A,R
15,1,0,0,L,C,R
16,0,0,1,R,B,L
17,1,0,0,L,A,L
18,0,1,0,L,B,R
19,0,0,1,R,C,L
20,1,0,0,L,A,L
21,0,0,1,R,B,L
22,0,1,0,R,A,L
23,0,0,1,R,C,R
24,1,0,0,L,A,L
25,0,1,0,L,B,L
26,0,0,1,R,C,L
27,1,0,0,L,A,R
28,0,1,0,L,B,R
29,0,0,1,R,C,R
30,1,0,0,L,A,L
31,0,1,0,L,B,L
32,0,0,1,R,C,L
33,0,1,0,R,A,R
34,0,0,1,R,C,R
35,1,0,0,L,A,R
36,0,1,0,L,B,R
37,0,0,1,R,C,R
38,0,1,0,R,A,R
39,1,0,0,L,C,R
