N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,L
2,1,0,0,L,C,L
3,0,0,1,R,B,R
4,0,1,0,R,A,L
5,0,0,1,R,C,L
6,1,0,0,L,A,R
7,0,1,0,L,B,L
8,0,0,1,R,C,R
9,0,1,0,R,A,R
10,1,0,0,L,C,R
11,0,0,1,R,B,R
12,1,0,0,L,A,R
13,0,1,0,L,B,R
14,0,0,1,R,C,L
15,1,0,0,L,A,R
16,0,0,1,R,B,R
17,0,1,0,R,A,L
18,0,0,1,R,C,L
19,1,0,0,L,A,R
20,0,0,1,R,B,R
21,0,1,0,R,A,R
22,1,0,0,L,C,R
23,0,1,0,L,B,L
24,0,0,1,R,C,L
25,1,0,0,L,A,L
26,0,0,1,R,B,L
27,0,1,0,R,A,R
28,1,0,0,L,C,R
29,0,0,1,R,B,L
30,0,1,0,R,A,R
31,0,0,1,R,C,R
32,1,0,0,L,A,R
33,0,0,1,R,B,L
34,0,1,0,R,A,L
35,0,0,1,R,C,L
36,0,1,0,R,A,L
37,0,0,1,R,C,R
38,0,1,0,R,A,L
39,0,0,1,R,C,L
