N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,1,0,0,L,C,R
3,0,0,1,R,B,R
4,0,1,0,R,A,L
5,1,0,0,L,C,R
6,0,0,1,R,B,L
7,1,0,0,L,A,R
8,0,0,1,R,B,L
9,0,1,0,R,A,R
10,1,0,0,L,C,L
11,0,0,1,R,B,R
12,0,1,0,R,A,R
13,1,0,0,L,C,R
14,0,0,1,R,B,L
15,0,1,0,R,A,L
16,1,0,0,L,C,L
17,0,0,1,R,B,L
18,0,1,0,R,A,R
19,1,0,0,L,C,L
20,0,0,1,R,B,L
21,0,1,0,R,A,R
22,1,0,0,L,C,L
23,0,0,1,R,B,L
24,0,1,0,R,A,R
25,1,0,0,L,C,L
26,0,0,1,R,B,L
27,0,1,0,R,A,R
28,0,0,1,R,C,R
29,1,0,0,L,A,L
30,0,0,1,R,B,R
31,0,1,0,R,A,R
32,1,0,0,L,C,L
33,0,0,1,R,B,R
34,0,1,0,R,A,L
35,0,0,1,R,C,R
36,1,0,0,L,A,L
37,0,0,1,R,B,L
38,0,1,0,R,A,L
39,1,0,0,L,C,R
