N,L,C,R,M,E
0,0,1,0,B,2
1,0,1,0,C,0
2,0,1,0,C,2
3,0,1,0,B,0
4,0,1,0,C,0
5,0,1,0,C,2
6,0,1,0,B,2
7,0,1,0,B,2
8,0,1,0,A,2
9,0,1,0,A,2
10,0,1,0,A,0
11,0,1,0,B,2
12,0,1,0,C,2
13,0,1,0,C,0
14,0,1,0,B,0
15,0,1,0,C,0
16,0,1,0,A,0
17,0,1,0,A,2
18,0,1,0,C,0
19,0,1,0,A,2
20,0,1,0,C,2
21,0,1,0,B,0
22,0,1,0,A,0
23,0,1,0,B,2
24,0,1,0,B,0
25,0,1,0,A,0
26,0,1,0,A,0
27,0,1,0,B,0
28,0,1,0,A,2
29,0,1,0,C,2
