N,L,C,R,M,E
0,0,1,0,C,0
1,0,0,1,A,1
2,1,0,0,B,0
3,0,1,0,C,0
4,0,0,1,C,0
5,0,0,1,C,1
6,0,1,0,B,0
7,0,1,0,B,1
8,1,0,0,B,0
9,0,1,0,B,1
10,0,0,1,A,1
11,0,1,0,B,0
12,0,0,1,A,1
13,0,1,0,C,1
14,0,1,0,A,0
15,0,0,1,A,0
16,0,1,0,C,1
17,0,1,0,A,0
18,0,1,0,B,0
19,0,1,0,A,0
20,0,1,0,B,1
21,0,1,0,C,0
22,0,1,0,C,0
23,0,1,0,A,0
24,0,1,0,B,1
25,0,1,0,A,1
26,0,0,1,A,1
27,0,1,0,B,1
28,0,0,1,C,1
29,0,0,1,C,1
