N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,1,0,0,L,C,R
3,0,1,0,L,B,R
4,0,0,1,R,C,R
5,0,1,0,R,A,L
6,0,0,1,R,C,R
7,0,1,0,R,A,R
8,0,0,1,R,C,L
9,1,0,0,L,A,L
10,0,1,0,L,B,L
11,0,0,1,R,C,L
12,0,1,0,R,A,R
13,0,0,1,R,C,L
14,0,1,0,R,A,R
15,0,0,1,R,C,L
16,1,0,0,L,A,R
17,0,1,0,L,B,L
18,1,0,0,L,C,L
19,0,0,1,R,B,R
20,1,0,0,L,A,R
21,0,1,0,L,B,L
22,0,0,1,R,C,L
23,1,0,0,L,A,R
24,0,1,0,L,B,L
25,1,0,0,L,C,L
26,0,1,0,L,B,R
27,1,0,0,L,C,R
28,0,0,1,R,B,R
29,0,1,0,R,A,L
30,0,0,1,R,C,L
31,0,1,0,R,A,L
32,1,0,0,L,C,R
33,0,0,1,R,B,R
34,0,1,0,R,A,L
35,1,0,0,L,C,R
36,0,0,1,R,B,R
37,0,1,0,R,A,L
38,1,0,0,L,C,L
39,0,1,0,L,B,L
