N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,R
1,0,1,0,L,B,L
2,0,0,1,R,C,L
3,0,1,0,R,A,L
4,1,0,0,L,C,R
5,0,1,0,L,B,R
6,0,0,1,R,C,L
7,0,1,0,R,A,L
8,0,0,1,R,C,L
9,1,0,0,L,A,L
10,0,0,1,R,B,L
11,0,1,0,R,A,R
12,0,0,1,R,C,R
13,1,0,0,L,A,R
14,0,1,0,L,B,L
15,0,0,1,R,C,L
16,1,0,0,L,A,R
17,0,0,1,R,B,L
18,0,1,0,R,A,L
19,0,0,1,R,C,R
20,1,0,0,L,A,L
21,0,0,1,R,B,R
22,0,1,0,R,A,R
23,0,0,1,R,C,L
24,1,0,0,L,A,L
25,0,1,0,L,B,R
26,0,0,1,R,C,R
27,1,0,0,L,A,R
28,0,1,0,L,B,R
29,0,0,1,R,C,R
30,0,1,0,R,A,R
31,0,0,1,R,C,R
32,1,0,0,L,A,L
33,0,1,0,L,B,L
34,1,0,0,L,C,R
35,0,0,1,R,B,R
36,1,0,0,L,A,L
37,0,0,1,R,B,R
38,0,1,0,R,A,L
39,1,0,0,L,C,L
