N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,L
2,1,0,0,L,C,L
3,0,1,0,L,B,R
4,0,0,1,R,C,R
5,1,0,0,L,A,R
6,0,0,1,R,B,R
7,0,1,0,R,A,L
8,1,0,0,L,C,L
9,0,1,0,L,B,L
10,0,0,1,R,C,L
11,1,0,0,L,A,L
12,0,1,0,L,B,L
13,0,0,1,R,C,R
14,1,0,0,L,A,R
15,0,0,1,R,B,L
16,0,1,0,R,A,R
17,0,0,1,R,C,R
18,1,0,0,L,A,L
19,0,1,0,L,B,R
20,1,0,0,L,C,R
21,0,0,1,R,B,L
22,0,1,0,R,A,R
23,0,0,1,R,C,R
24,1,0,0,L,A,L
25,0,1,0,L,B,R
26,1,0,0,L,C,R
27,0,0,1,R,B,L
28,0,1,0,R,A,R
29,1,0,0,L,C,L
30,0,0,1,R,B,L
31,1,0,0,L,A,L
32,0,1,0,L,B,R
33,0,0,1,R,C,L
34,1,0,0,L,A,R
35,0,1,0,L,B,L
36,1,0,0,L,C,L
37,0,0,1,R,B,R
38,0,1,0,R,A,R
39,1,0,0,L,C,L
