N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,1,0,0,L,A,L
2,0,1,0,L,B,L
3,0,0,1,R,C,R
4,1,0,0,L,A,L
5,0,1,0,L,B,L
6,0,0,1,R,C,L
7,1,0,0,L,A,L
8,0,1,0,L,B,L
9,1,0,0,L,C,L
10,0,0,1,R,B,R
11,1,0,0,L,A,L
12,0,1,0,L,B,L
13,0,0,1,R,C,R
14,1,0,0,L,A,R
15,0,1,0,L,B,R
16,0,0,1,R,C,R
17,0,1,0,R,A,R
18,0,0,1,R,C,R
19,1,0,0,L,A,L
20,0,1,0,L,B,L
21,0,0,1,R,C,R
22,1,0,0,L,A,L
23,0,1,0,L,B,R
24,0,0,1,R,C,L
25,1,0,0,L,A,L
26,0,0,1,R,B,R
27,0,1,0,R,A,R
28,1,0,0,L,C,R
29,0,0,1,R,B,L
30,1,0,0,L,A,L
31,0,1,0,L,B,R
32,0,0,1,R,C,R
32,1,0,0,L,C,R
33,0,1,0,L,B,L
34,0,0,1,R,C,R
35,1,0,0,L,A,R
36,0,1,0,L,B,L
37,0,0,1,R,C,L
38,1,0,0,L,A,R
39,0,1,0,L,B,R
