N,T1,T2,T3,T4,LR,M,E
0,0,0,1,0,R,B,0
1,0,0,0,1,R,C,1
2,0,1,0,0,R,A,1
3,0,0,1,0,R,B,1
4,0,0,1,0,R,B,1
5,0,1,0,0,R,A,0
6,0,1,0,0,R,A,1
7,0,1,0,0,R,A,0
8,0,1,0,0,R,A,0
9,0,0,1,0,R,B,0
10,0,0,1,0,R,B,0
11,0,0,0,1,R,C,0
12,0,1,0,0,R,A,1
13,0,1,0,0,R,A,0
14,0,1,0,0,R,A,1
15,0,1,0,0,R,A,1
16,0,0,1,0,R,B,1
17,0,0,0,1,R,C,1
18,0,0,0,1,R,C,0
19,1,0,0,0,L,A,0
20,0,0,1,0,R,B,0
21,0,0,1,0,R,B,1
22,0,0,0,1,R,C,1
23,0,0,0,1,R,C,0
24,0,0,0,1,R,C,0
25,0,0,0,1,R,C,1
26,0,0,1,0,R,B,1
27,0,0,0,1,R,C,0
28,0,0,1,0,R,B,0
29,0,0,1,0,L,C,1
