N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,N
1,0,1,0,R,A,N
2,0,0,1,R,C,N
3,1,0,0,L,A,N
4,0,0,1,R,B,N
5,1,0,0,L,A,N
6,0,0,1,R,B,N
7,0,1,0,R,A,N
8,1,0,0,L,C,N
9,0,1,0,L,B,N
10,0,0,1,R,C,N
11,1,0,0,L,A,N
12,0,1,0,L,B,N
13,1,0,0,L,C,N
14,0,0,1,R,B,N
15,1,0,0,L,A,N
16,0,1,0,L,B,N
17,1,0,0,L,C,N
18,0,0,1,R,B,N
19,1,0,0,L,A,N
