N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,1,0,0,L,C,L
3,0,1,0,L,B,L
4,0,0,1,R,C,L
5,0,1,0,R,A,R
6,1,0,0,L,C,R
7,0,0,1,R,B,R
8,0,1,0,R,A,L
9,1,0,0,L,C,R
10,0,1,0,L,B,L
11,0,0,1,R,C,R
12,1,0,0,L,A,L
13,0,1,0,L,B,R
14,0,0,1,R,C,R
15,1,0,0,L,A,L
16,0,1,0,L,B,L
17,0,0,1,R,C,R
18,0,1,0,R,A,L
19,0,0,1,R,C,L
20,1,0,0,L,A,L
21,0,1,0,L,B,L
22,0,0,1,R,C,R
23,1,0,0,L,A,R
24,0,1,0,L,B,R
25,1,0,0,L,C,L
26,0,0,1,R,B,R
27,1,0,0,L,A,L
28,0,1,0,L,B,R
29,0,0,1,R,C,R
30,1,0,0,L,A,R
31,0,0,1,R,B,L
32,1,0,0,L,A,L
33,0,1,0,L,B,R
34,1,0,0,L,C,L
35,0,0,1,R,B,R
36,1,0,0,L,A,L
37,0,1,0,L,B,L
38,0,0,1,R,C,R
39,1,0,0,L,A,R
