N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,L
3,0,1,0,R,A,R
4,1,0,0,L,C,L
5,0,0,1,R,B,R
6,1,0,0,L,A,L
7,0,0,1,R,B,R
8,1,0,0,L,A,L
9,0,1,0,L,B,L
10,1,0,0,L,C,L
11,0,1,0,L,B,L
12,0,0,1,R,C,R
13,0,1,0,R,A,L
14,0,0,1,R,C,L
15,1,0,0,L,A,L
16,0,1,0,L,B,L
17,0,0,1,R,C,L
18,0,1,0,R,A,R
19,0,0,1,R,C,R
20,0,1,0,R,A,R
21,1,0,0,L,C,R
22,0,0,1,R,B,R
23,0,1,0,R,A,R
24,0,0,1,R,C,R
25,0,1,0,R,A,R
26,1,0,0,L,C,L
27,0,0,1,R,B,R
28,1,0,0,L,A,L
29,0,0,1,R,B,R
30,0,1,0,R,A,R
31,1,0,0,L,C,R
32,0,0,1,R,B,L
33,1,0,0,L,A,L
34,0,0,1,R,B,L
35,0,1,0,R,A,R
36,0,0,1,R,C,R
37,1,0,0,L,A,L
38,0,1,0,L,B,L
39,0,0,1,R,C,R
