N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,1,0,0,L,A,R
2,0,1,0,L,B,R
3,0,0,1,R,C,L
4,1,0,0,L,A,L
5,0,0,1,R,B,R
6,0,1,0,R,A,L
7,0,0,1,R,C,L
8,1,0,0,L,A,R
9,0,0,1,R,B,R
10,0,1,0,R,A,R
11,0,0,1,R,C,L
12,1,0,0,L,A,L
13,0,1,0,L,B,L
14,1,0,0,L,C,R
15,0,0,1,R,B,L
16,0,1,0,R,A,L
17,1,0,0,L,C,R
18,0,1,0,L,B,R
19,0,0,1,R,C,L
20,0,1,0,R,A,R
21,0,0,1,R,C,L
22,1,0,0,L,A,L
23,0,0,1,R,B,L
24,0,1,0,R,A,R
25,0,0,1,R,C,L
26,0,1,0,R,A,L
27,1,0,0,L,C,R
28,0,0,1,R,B,L
29,1,0,0,L,A,L
30,0,0,1,R,B,R
31,0,1,0,R,A,R
32,1,0,0,L,C,L
33,0,0,1,R,B,R
34,1,0,0,L,A,R
35,0,1,0,L,B,L
36,0,0,1,R,C,R
37,1,0,0,L,A,R
38,0,0,1,R,B,L
39,0,1,0,R,A,R
