N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,L
2,1,0,0,L,C,R
3,0,0,1,R,B,L
4,0,1,0,R,A,R
5,1,0,0,L,C,L
6,0,0,1,R,B,L
7,1,0,0,L,A,L
8,0,0,1,R,B,R
9,0,1,0,R,A,L
10,1,0,0,L,C,L
11,0,0,1,R,B,R
12,1,0,0,L,A,L
13,0,1,0,L,B,R
14,0,0,1,R,C,R
15,1,0,0,L,A,R
16,0,0,1,R,B,L
17,0,1,0,R,A,R
18,1,0,0,L,C,L
19,0,0,1,R,B,R
20,1,0,0,L,A,L
21,0,0,1,R,B,R
22,0,1,0,R,A,L
23,1,0,0,L,C,R
24,0,0,1,R,B,R
25,0,1,0,R,A,R
26,1,0,0,L,C,R
27,0,0,1,R,B,R
28,1,0,0,L,A,L
29,0,0,1,R,B,R
30,0,1,0,R,A,R
31,0,0,1,R,C,L
32,1,0,0,L,A,L
33,0,0,1,R,B,R
34,0,1,0,R,A,R
35,1,0,0,L,C,L
36,0,0,1,R,B,L
37,0,1,0,R,A,L
38,1,0,0,L,C,L
39,0,0,1,R,B,R
