N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,R
1,0,1,0,L,B,R
2,0,0,1,R,C,R
3,0,1,0,R,A,R
4,1,0,0,L,C,L
5,0,0,1,R,B,L
6,0,1,0,R,A,R
7,1,0,0,L,C,L
8,0,0,1,R,B,L
9,0,1,0,R,A,R
10,0,0,1,R,C,R
11,1,0,0,L,A,L
12,0,1,0,L,B,L
13,0,0,1,R,C,R
14,0,1,0,R,A,R
15,0,0,1,R,C,L
16,1,0,0,L,A,R
17,0,1,0,L,B,R
18,0,0,1,R,C,R
19,1,0,0,L,A,R
20,0,1,0,L,B,L
21,0,0,1,R,C,L
22,1,0,0,L,A,L
23,0,0,1,R,B,L
24,0,1,0,R,A,L
25,1,0,0,L,C,R
26,0,1,0,L,B,L
27,0,0,1,R,C,R
28,0,1,0,R,A,R
29,1,0,0,L,C,R
30,0,0,1,R,B,R
31,1,0,0,L,A,L
32,0,1,0,L,B,R
33,0,0,1,R,C,L
34,1,0,0,L,A,L
35,0,1,0,L,B,R
36,0,0,1,R,C,L
37,1,0,0,L,A,L
38,0,0,1,R,B,L
39,0,1,0,R,A,L
