N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,R
1,0,0,1,R,B,L
2,0,1,0,R,A,L
3,1,0,0,L,C,L
4,0,1,0,L,B,L
5,1,0,0,L,C,R
6,0,0,1,R,B,R
7,1,0,0,L,A,R
8,0,0,1,R,B,L
9,0,1,0,R,A,L
10,1,0,0,L,C,L
11,0,1,0,L,B,R
12,0,0,1,R,C,R
13,0,1,0,R,A,R
14,0,0,1,R,C,R
15,1,0,0,L,A,L
16,0,1,0,L,B,L
17,1,0,0,L,C,R
18,0,0,1,R,B,R
19,0,1,0,R,A,L
20,1,0,0,L,C,L
21,0,0,1,R,B,L
22,0,1,0,R,A,R
23,1,0,0,L,C,R
24,0,0,1,R,B,L
25,0,1,0,R,A,R
26,1,0,0,L,C,L
27,0,0,1,R,B,L
28,0,1,0,R,A,L
29,1,0,0,L,C,L
30,0,1,0,L,B,R
31,1,0,0,L,C,R
32,0,0,1,R,B,R
33,1,0,0,L,A,R
34,0,0,1,R,B,R
35,0,1,0,R,A,R
36,0,0,1,R,C,L
37,1,0,0,L,A,R
38,0,0,1,R,B,L
39,1,0,0,L,A,L
