N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,L
3,1,0,0,L,A,L
4,0,1,0,L,B,L
5,0,0,1,R,C,L
6,0,1,0,R,A,R
7,0,0,1,R,C,R
8,0,1,0,R,A,R
9,1,0,0,L,C,L
10,0,0,1,R,B,L
11,0,1,0,R,A,R
12,0,0,1,R,C,R
13,1,0,0,L,A,R
14,0,0,1,R,B,R
15,0,1,0,R,A,R
16,0,0,1,R,C,L
17,1,0,0,L,A,L
18,0,1,0,L,B,R
19,0,0,1,R,C,L
20,0,1,0,R,A,L
21,0,0,1,R,C,L
22,0,1,0,R,A,L
23,1,0,0,L,C,L
24,0,1,0,L,B,R
25,1,0,0,L,C,L
26,0,0,1,R,B,L
27,0,1,0,R,A,R
28,0,0,1,R,C,L
29,0,1,0,R,A,R
30,1,0,0,L,C,R
31,0,0,1,R,B,R
32,0,1,0,R,A,L
33,0,0,1,R,C,L
34,1,0,0,L,A,R
35,0,0,1,R,B,L
36,0,1,0,R,A,R
37,1,0,0,L,C,R
38,0,0,1,R,B,R
39,0,1,0,R,A,R
