N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,1,0,0,L,C,R
3,0,1,0,L,B,R
4,1,0,0,L,C,R
5,0,0,1,R,B,R
6,1,0,0,L,A,L
7,0,1,0,L,B,L
8,0,0,1,R,C,L
9,1,0,0,L,A,R
10,0,0,1,R,B,L
11,0,1,0,R,A,L
12,1,0,0,L,C,R
13,0,0,1,R,B,R
14,1,0,0,L,A,L
15,0,0,1,R,B,R
16,1,0,0,L,A,L
17,0,1,0,L,B,L
18,1,0,0,L,C,L
19,0,0,1,R,B,R
20,0,1,0,R,A,L
21,1,0,0,L,C,L
22,0,0,1,R,B,R
23,0,1,0,R,A,L
24,1,0,0,L,C,L
25,0,1,0,L,B,R
26,0,0,1,R,C,R
27,1,0,0,L,A,L
28,0,1,0,L,B,R
29,1,0,0,L,C,L
30,0,0,1,R,B,R
31,1,0,0,L,A,L
32,0,1,0,L,B,R
33,1,0,0,L,C,L
34,0,0,1,R,B,R
35,0,1,0,R,A,R
36,0,0,1,R,C,L
37,1,0,0,L,A,L
38,0,0,1,R,B,R
39,0,1,0,R,A,L
