N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,L
1,0,1,0,L,B,R
2,0,0,1,R,C,R
3,0,1,0,R,A,L
4,1,0,0,L,C,L
5,0,0,1,R,B,L
6,0,1,0,R,A,L
7,1,0,0,L,C,L
8,0,0,1,R,B,R
9,0,1,0,R,A,R
10,1,0,0,L,C,L
11,0,1,0,L,B,L
12,0,0,1,R,C,R
13,0,1,0,R,A,L
14,0,0,1,R,C,R
15,1,0,0,L,A,R
16,0,1,0,L,B,L
17,1,0,0,L,C,R
18,0,0,1,R,B,L
19,1,0,0,L,A,L
20,0,1,0,L,B,R
21,1,0,0,L,C,R
22,0,0,1,R,B,L
23,1,0,0,L,A,L
24,0,1,0,L,B,L
25,0,0,1,R,C,R
26,1,0,0,L,A,R
27,0,1,0,L,B,R
28,0,0,1,R,C,R
29,1,0,0,L,A,R
30,0,0,1,R,B,R
31,1,0,0,L,A,R
32,0,1,0,L,B,L
33,0,0,1,R,C,R
34,1,0,0,L,A,L
35,0,1,0,L,B,R
36,1,0,0,L,C,L
37,0,0,1,R,B,R
38,1,0,0,L,A,L
39,0,1,0,L,B,L
