N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,1,0,0,L,C,L
3,0,0,1,R,B,R
4,0,1,0,R,A,R
5,0,0,1,R,C,L
6,0,1,0,R,A,R
7,1,0,0,L,C,R
8,0,1,0,L,B,L
9,0,0,1,R,C,L
10,1,0,0,L,A,R
11,0,1,0,L,B,R
12,0,0,1,R,C,R
13,1,0,0,L,A,L
14,0,1,0,L,B,L
15,0,0,1,R,C,R
16,1,0,0,L,A,R
17,0,1,0,L,B,L
18,0,0,1,R,C,R
19,1,0,0,L,A,R
20,0,1,0,L,B,L
21,1,0,0,L,C,R
22,0,0,1,R,B,L
23,0,1,0,R,A,L
24,1,0,0,L,C,R
25,0,0,1,R,B,L
26,1,0,0,L,A,L
27,0,1,0,L,B,L
28,1,0,0,L,C,R
29,0,0,1,R,B,L
30,0,1,0,R,A,R
31,1,0,0,L,C,L
32,0,0,1,R,B,R
33,0,1,0,R,A,L
34,0,0,1,R,C,R
35,1,0,0,L,A,L
36,0,0,1,R,B,R
37,0,1,0,R,A,R
38,0,0,1,R,C,L
39,1,0,0,L,A,L
