N,T1,T2,T3,T4,LR,M,E
0,0,1,0,0,L,B,0
1,1,0,0,0,L,A,1
2,0,0,1,0,L,C,0
3,0,1,0,0,R,A,0
4,1,0,0,0,L,A,0
5,0,1,0,0,L,B,0
6,0,1,0,0,L,B,1
