N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,L
1,0,1,0,L,B,L
2,0,0,1,R,C,L
3,1,0,0,L,A,R
4,0,1,0,L,B,L
5,1,0,0,L,C,R
6,0,1,0,L,B,L
7,0,0,1,R,C,R
8,1,0,0,L,A,L
9,0,1,0,L,B,R
10,1,0,0,L,C,R
11,0,0,1,R,B,L
12,1,0,0,L,A,L
13,0,1,0,L,B,L
14,1,0,0,L,C,R
15,0,0,1,R,B,L
16,0,1,0,R,A,L
17,1,0,0,L,C,L
18,0,0,1,R,B,R
19,0,1,0,R,A,L
20,1,0,0,L,C,R
21,0,0,1,R,B,L
22,0,1,0,R,A,R
23,0,0,1,R,C,R
24,1,0,0,L,A,R
25,0,1,0,L,B,R
26,1,0,0,L,C,R
27,0,0,1,R,B,L
28,0,1,0,R,A,L
29,1,0,0,L,C,L
30,0,0,1,R,B,R
31,1,0,0,L,A,L
32,0,1,0,L,B,L
33,1,0,0,L,C,R
34,0,0,1,R,B,R
35,0,1,0,R,A,R
36,1,0,0,L,C,L
37,0,0,1,R,B,R
38,0,1,0,R,A,R
39,0,0,1,R,C,R
