N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,N
1,0,0,1,R,B,N
2,0,1,0,R,A,N
3,0,0,1,R,C,N
4,1,0,0,L,A,N
5,0,0,1,R,B,N
6,0,1,0,R,A,N
7,1,0,0,L,C,N
8,0,0,1,R,B,N
9,0,1,0,R,A,N
10,1,0,0,L,C,N
11,0,0,1,R,B,N
12,0,1,0,R,A,N
13,0,0,1,R,C,N
14,1,0,0,L,A,N
15,0,0,1,R,B,N
16,0,1,0,R,A,N
17,0,0,1,R,C,N
18,1,0,0,L,A,N
19,0,0,1,R,B,N
