N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,1,0,0,L,A,R
2,0,0,1,R,B,L
3,0,1,0,R,A,L
4,1,0,0,L,C,L
5,0,1,0,L,B,R
6,0,0,1,R,C,R
7,0,1,0,R,A,R
8,1,0,0,L,C,R
9,0,0,1,R,B,R
10,0,1,0,R,A,R
11,0,0,1,R,C,L
12,1,0,0,L,A,L
13,0,0,1,R,B,L
14,0,1,0,R,A,R
15,0,0,1,R,C,L
16,1,0,0,L,A,L
17,0,0,1,R,B,L
18,1,0,0,L,A,L
19,0,1,0,L,B,L
20,1,0,0,L,C,R
21,0,0,1,R,B,R
22,1,0,0,L,A,R
23,0,1,0,L,B,R
24,0,0,1,R,C,L
25,1,0,0,L,A,L
26,0,1,0,L,B,R
27,0,0,1,R,C,R
28,1,0,0,L,A,L
29,0,0,1,R,B,L
30,0,1,0,R,A,R
31,1,0,0,L,C,R
32,0,1,0,L,B,R
33,1,0,0,L,C,L
34,0,0,1,R,B,L
35,1,0,0,L,A,R
36,0,1,0,L,B,L
37,0,0,1,R,C,L
38,1,0,0,L,A,L
39,0,1,0,L,B,R
