N,T1,T2,T3,T4,LR,M,E
0,0,0,0,1,R,C,0
1,0,0,0,1,R,C,2
2,0,1,0,0,L,B,0
3,0,0,0,1,R,C,2
4,0,0,1,0,L,C,0
5,1,0,0,0,L,A,2
6,0,1,0,0,R,A,0
7,0,1,0,0,R,A,0
8,0,0,1,0,R,B,2
9,0,0,1,0,R,B,2
10,0,0,1,0,R,B,0
11,1,0,0,0,L,A,0
12,0,1,0,0,R,A,0
13,0,0,0,1,R,C,0
