N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,1,0,0,L,A,L
2,0,1,0,L,B,R
3,0,0,1,R,C,L
4,0,1,0,R,A,L
5,1,0,0,L,C,R
6,0,0,1,R,B,L
7,0,1,0,R,A,R
8,0,0,1,R,C,L
9,1,0,0,L,A,R
10,0,1,0,L,B,L
11,1,0,0,L,C,L
12,0,0,1,R,B,L
13,0,1,0,R,A,R
14,0,0,1,R,C,L
15,1,0,0,L,A,R
16,0,0,1,R,B,L
17,0,1,0,R,A,R
18,0,0,1,R,C,L
19,1,0,0,L,A,R
20,0,1,0,L,B,L
21,0,0,1,R,C,R
22,0,1,0,R,A,R
23,1,0,0,L,C,R
24,0,0,1,R,B,R
25,1,0,0,L,A,L
26,0,1,0,L,B,R
27,1,0,0,L,C,L
28,0,0,1,R,B,L
29,0,1,0,R,A,R
30,0,0,1,R,C,R
31,1,0,0,L,A,R
32,0,1,0,L,B,L
33,1,0,0,L,C,L
34,0,0,1,R,B,R
35,0,1,0,R,A,L
36,0,0,1,R,C,R
37,1,0,0,L,A,L
38,0,0,1,R,B,R
39,0,1,0,R,A,L
