N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,L
3,0,1,0,R,A,L
4,0,0,1,R,C,R
5,1,0,0,L,A,L
6,0,1,0,L,B,L
7,0,0,1,R,C,R
8,0,1,0,R,A,R
9,1,0,0,L,C,L
10,0,1,0,L,B,L
11,0,0,1,R,C,L
12,0,1,0,R,A,R
13,0,0,1,R,C,R
14,1,0,0,L,A,L
15,0,1,0,L,B,R
16,0,0,1,R,C,R
17,0,1,0,R,A,R
18,0,0,1,R,C,L
19,0,1,0,R,A,R
20,1,0,0,L,C,L
21,0,0,1,R,B,L
22,0,1,0,R,A,L
23,1,0,0,L,C,L
24,0,1,0,L,B,L
25,0,0,1,R,C,L
26,1,0,0,L,A,L
27,0,1,0,L,B,R
28,0,0,1,R,C,R
29,0,1,0,R,A,R
30,0,0,1,R,C,R
31,0,1,0,R,A,R
32,1,0,0,L,C,L
33,0,0,1,R,B,R
34,0,1,0,R,A,R
35,0,0,1,R,C,R
36,1,0,0,L,A,R
37,0,1,0,L,B,L
38,0,0,1,R,C,L
39,0,1,0,R,A,R
