N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,1,0,0,L,C,R
3,0,1,0,L,B,R
4,0,0,1,R,C,L
5,0,1,0,R,A,L
6,1,0,0,L,C,R
7,0,1,0,L,B,L
8,0,0,1,R,C,L
9,0,1,0,R,A,L
10,1,0,0,L,C,L
11,0,1,0,L,B,R
12,0,0,1,R,C,L
13,0,1,0,R,A,R
14,1,0,0,L,C,L
15,0,1,0,L,B,R
16,0,0,1,R,C,R
17,0,1,0,R,A,R
18,1,0,0,L,C,R
19,0,1,0,L,B,R
20,0,0,1,R,C,L
21,0,1,0,R,A,R
22,1,0,0,L,C,R
23,0,1,0,L,B,L
24,0,0,1,R,C,L
25,0,1,0,R,A,L
26,1,0,0,L,C,L
27,0,1,0,L,B,R
28,0,0,1,R,C,R
29,0,1,0,R,A,L
30,1,0,0,L,C,R
31,0,1,0,L,B,R
32,0,0,1,R,C,L
33,0,1,0,R,A,R
34,1,0,0,L,C,L
35,0,1,0,L,B,R
36,0,0,1,R,C,L
37,0,1,0,R,A,R
38,1,0,0,L,C,L
39,0,1,0,L,B,L
