N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,R
3,0,1,0,R,A,R
4,0,0,1,R,C,R
5,0,1,0,R,A,R
6,1,0,0,L,C,L
7,0,1,0,L,B,L
8,0,0,1,R,C,R
9,0,1,0,R,A,R
10,1,0,0,L,C,L
11,0,1,0,L,B,L
12,0,0,1,R,C,R
13,0,1,0,R,A,L
14,0,0,1,R,C,L
15,0,1,0,R,A,R
16,1,0,0,L,C,R
17,0,1,0,L,B,L
18,0,0,1,R,C,L
19,0,1,0,R,A,L
20,1,0,0,L,C,L
21,0,0,1,R,B,R
22,0,1,0,R,A,R
23,1,0,0,L,C,L
24,0,0,1,R,B,R
25,0,1,0,R,A,R
26,1,0,0,L,C,L
27,0,0,1,R,B,L
28,0,1,0,R,A,R
29,0,0,1,R,C,R
30,1,0,0,L,A,L
31,0,0,1,R,B,L
32,0,1,0,R,A,R
33,0,0,1,R,C,L
34,0,1,0,R,A,R
35,0,0,1,R,C,R
36,1,0,0,L,A,L
37,0,0,1,R,B,R
38,0,1,0,R,A,L
39,0,0,1,R,C,L
