N,L,C,R,M,E
0,0,1,0,B,0
1,0,1,0,B,0
2,0,1,0,B,0
3,0,1,0,C,2
4,0,1,0,C,0
5,0,1,0,C,0
6,0,1,0,A,2
7,0,1,0,C,2
8,0,1,0,B,0
9,0,1,0,B,2
10,0,1,0,C,2
11,0,1,0,A,0
12,0,1,0,C,0
13,0,1,0,C,0
14,0,1,0,A,2
15,0,1,0,B,0
16,0,1,0,B,2
17,0,1,0,A,2
18,0,1,0,A,2
19,0,1,0,A,0
20,0,1,0,A,2
21,0,1,0,A,0
22,0,1,0,A,0
23,0,1,0,A,0
24,0,1,0,B,2
25,0,1,0,B,2
26,0,1,0,B,2
27,0,1,0,C,2
28,0,1,0,C,0
29,0,1,0,C,2
