N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,1,0,0,L,A,L
2,0,1,0,L,B,R
3,0,0,1,R,C,R
4,1,0,0,L,A,L
5,0,1,0,L,B,R
6,0,0,1,R,C,L
7,1,0,0,L,A,L
8,0,1,0,L,B,R
9,1,0,0,L,C,L
10,0,0,1,R,B,R
11,0,1,0,R,A,R
12,1,0,0,L,C,L
13,0,1,0,L,B,L
14,0,0,1,R,C,L
15,0,1,0,R,A,R
16,1,0,0,L,C,R
17,0,0,1,R,B,L
18,0,1,0,R,A,R
19,1,0,0,L,C,R
20,0,0,1,R,B,R
21,1,0,0,L,A,L
22,0,1,0,L,B,L
23,0,0,1,R,C,L
24,1,0,0,L,A,L
25,0,1,0,L,B,L
26,0,0,1,R,C,L
27,1,0,0,L,A,R
28,0,0,1,R,B,L
29,0,1,0,R,A,R
30,1,0,0,L,C,R
31,0,0,1,R,B,R
32,0,1,0,R,A,R
33,1,0,0,L,C,R
34,0,0,1,R,B,R
35,1,0,0,L,A,L
36,0,0,1,R,B,L
37,0,1,0,R,A,R
38,0,0,1,R,C,L
39,1,0,0,L,A,R
