N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,1,0,0,L,A,R
2,0,0,1,R,B,L
3,0,1,0,R,A,L
4,0,0,1,R,C,R
5,0,1,0,R,A,R
6,1,0,0,L,C,L
7,0,0,1,R,B,R
8,0,1,0,R,A,R
9,0,0,1,R,C,L
10,1,0,0,L,A,R
11,0,1,0,L,B,R
12,0,0,1,R,C,R
13,0,1,0,R,A,L
14,1,0,0,L,C,L
15,0,0,1,R,B,L
16,0,1,0,R,A,R
17,1,0,0,L,C,L
18,0,0,1,R,B,R
19,0,1,0,R,A,R
20,0,0,1,R,C,R
21,1,0,0,L,A,L
22,0,1,0,L,B,L
23,0,0,1,R,C,R
24,0,1,0,R,A,R
25,0,0,1,R,C,L
26,1,0,0,L,A,R
27,0,0,1,R,B,R
28,0,1,0,R,A,R
29,0,0,1,R,C,L
30,1,0,0,L,A,R
31,0,0,1,R,B,L
32,0,1,0,R,A,L
33,0,0,1,R,C,L
34,1,0,0,L,A,R
35,0,0,1,R,B,L
36,0,1,0,R,A,L
37,0,0,1,R,C,L
38,1,0,0,L,A,R
39,0,0,1,R,B,L
