N,T1,T2,T3,T4,LR,M,E
0,0,1,0,0,L,B,0
1,0,0,1,0,L,C,0
2,0,0,1,0,R,B,2
3,0,1,0,0,R,A,0
4,0,1,0,0,L,B,0
5,0,0,1,0,L,C,0
6,0,0,1,0,R,B,2
7,0,1,0,0,R,A,2
8,1,0,0,0,L,A,0
9,0,1,0,0,R,A,0
10,0,0,1,0,R,B,2
11,0,0,0,1,R,C,2
12,0,1,0,0,R,A,2
13,0,1,0,0,R,A,0
14,0,0,1,0,L,C,0
15,0,0,1,0,R,B,0
16,0,1,0,0,R,A,0
17,0,0,0,1,R,C,2
18,0,0,1,0,L,C,0
19,0,1,0,0,R,A,2
20,0,0,0,1,R,C,2
21,0,1,0,0,L,B,0
22,0,0,1,0,L,C,2
23,0,1,0,0,R,A,2
24,0,0,0,1,R,C,2
25,0,0,1,0,L,C,0
26,0,1,0,0,R,A,2
27,0,0,1,0,R,B,0
28,0,1,0,0,L,B,2
29,0,0,1,0,R,B,2
