N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,1,0,0,L,C,L
3,0,1,0,L,B,R
4,0,0,1,R,C,R
5,1,0,0,L,A,L
6,0,1,0,L,B,R
7,1,0,0,L,C,R
8,0,0,1,R,B,L
9,0,1,0,R,A,R
10,0,0,1,R,C,L
11,1,0,0,L,A,R
12,0,1,0,L,B,L
13,0,0,1,R,C,R
14,1,0,0,L,A,L
15,0,1,0,L,B,L
16,1,0,0,L,C,L
17,0,0,1,R,B,L
18,0,1,0,R,A,R
19,0,0,1,R,C,R
20,1,0,0,L,A,L
21,0,1,0,L,B,L
22,0,0,1,R,C,L
23,1,0,0,L,A,R
24,0,1,0,L,B,R
25,1,0,0,L,C,R
26,0,0,1,R,B,R
27,1,0,0,L,A,R
28,0,1,0,L,B,R
29,0,0,1,R,C,R
30,1,0,0,L,A,L
31,0,1,0,L,B,L
32,1,0,0,L,C,L
33,0,0,1,R,B,L
34,0,1,0,R,A,L
35,1,0,0,L,C,L
36,0,0,1,R,B,R
37,0,1,0,R,A,L
38,1,0,0,L,C,R
39,0,0,1,R,B,R
