N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,0,0,1,R,C,L
3,1,0,0,L,A,L
4,0,1,0,L,B,R
5,0,0,1,R,C,L
6,0,1,0,R,A,L
7,0,0,1,R,C,R
8,1,0,0,L,A,L
9,0,0,1,R,B,L
10,0,1,0,R,A,R
11,0,0,1,R,C,R
12,1,0,0,L,A,L
13,0,0,1,R,B,L
14,1,0,0,L,A,R
15,0,0,1,R,B,L
16,0,1,0,R,A,R
17,0,0,1,R,C,L
18,1,0,0,L,A,L
19,0,0,1,R,B,R
20,0,1,0,R,A,R
21,0,0,1,R,C,R
22,1,0,0,L,A,R
23,0,1,0,L,B,L
24,0,0,1,R,C,L
25,1,0,0,L,A,R
26,0,1,0,L,B,R
27,0,0,1,R,C,R
28,0,1,0,R,A,L
29,1,0,0,L,C,L
30,0,0,1,R,B,L
31,0,1,0,R,A,R
32,1,0,0,L,C,R
33,0,0,1,R,B,R
34,0,1,0,R,A,L
35,1,0,0,L,C,R
36,0,0,1,R,B,L
37,0,1,0,R,A,L
38,0,0,1,R,C,L
39,1,0,0,L,A,R
