N,T1,T2,T3,T4,LR,M,E
0,0,1,0,0,L,B,1
1,0,0,1,0,L,C,0
2,0,1,0,0,R,A,0
3,0,1,0,0,L,B,1
4,0,0,1,0,L,C,0
5,0,1,0,0,R,A,0
6,0,0,1,0,L,C,1
7,0,1,0,0,R,A,0
8,0,1,0,0,R,A,0
9,0,1,0,0,L,B,1
10,0,0,1,0,L,C,1
11,0,1,0,0,R,A,1
12,0,1,0,0,L,B,1
13,0,0,0,1,R,C,1
14,0,0,1,0,L,C,0
15,0,0,1,0,L,C,0
16,0,0,1,0,L,C,1
17,0,0,1,0,L,C,0
18,0,0,1,0,R,B,1
19,0,1,0,0,R,A,0
20,1,0,0,0,L,A,1
21,0,0,1,0,R,B,0
22,0,1,0,0,R,A,1
23,0,1,0,0,L,B,0
24,0,0,1,0,R,B,0
25,0,1,0,0,R,A,1
26,0,0,1,0,L,C,1
27,0,1,0,0,R,A,1
28,0,0,1,0,R,B,0
29,0,1,0,0,L,B,0
