N,L,C,R,M,E
0,0,1,0,A,2
1,0,1,0,B,0
2,0,0,1,A,0
3,1,0,0,A,0
4,0,1,0,C,0
5,0,0,1,C,2
6,1,0,0,A,0
7,0,1,0,B,2
8,1,0,0,B,0
9,0,1,0,B,0
10,0,0,1,A,0
11,0,0,1,A,2
12,0,1,0,A,0
13,0,0,1,C,0
14,0,1,0,B,2
15,1,0,0,B,2
16,0,1,0,C,0
17,0,1,0,B,0
18,0,0,1,A,2
19,0,1,0,A,2
20,0,0,1,C,2
21,1,0,0,B,0
22,0,0,1,C,0
23,0,1,0,C,0
24,0,0,1,C,2
25,0,1,0,B,2
26,0,0,1,A,2
27,0,1,0,C,2
28,0,1,0,B,2
29,0,0,1,C,2
