N,T1,T2,T3,T4,LR,M,E
0,0,1,0,0,L,B,2
1,0,0,1,0,L,C,0
2,0,0,1,0,L,C,2
3,0,0,1,0,L,C,0
4,1,0,0,0,L,A,2
5,1,0,0,0,L,A,0
6,0,0,1,0,R,B,0
7,0,0,1,0,R,B,0
8,0,1,0,0,R,A,0
9,0,1,0,0,L,B,2
10,0,1,0,0,R,A,2
11,0,0,1,0,R,B,2
12,0,0,1,0,L,C,2
13,0,1,0,0,R,A,2
14,0,0,1,0,R,B,0
15,0,0,1,0,R,B,0
16,0,0,1,0,L,C,0
17,0,0,1,0,L,C,2
18,0,0,1,0,R,B,0
19,0,0,1,0,L,C,2
20,0,1,0,0,R,A,2
21,0,0,1,0,R,B,2
22,0,0,0,1,R,C,0
23,0,0,0,1,R,C,2
24,0,1,0,0,R,A,0
25,0,1,0,0,R,A,0
26,0,0,1,0,L,C,0
27,0,0,1,0,R,B,2
28,0,1,0,0,R,A,0
29,0,1,0,0,R,A,2
