N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,L
2,0,0,1,R,C,R
3,1,0,0,L,A,L
4,0,1,0,L,B,L
5,0,0,1,R,C,L
6,1,0,0,L,A,L
7,0,0,1,R,B,R
8,0,1,0,R,A,R
9,0,0,1,R,C,L
10,0,1,0,R,A,R
11,0,0,1,R,C,R
12,0,1,0,R,A,R
13,1,0,0,L,C,L
14,0,0,1,R,B,L
15,0,1,0,R,A,R
16,0,0,1,R,C,L
17,0,1,0,R,A,R
18,0,0,1,R,C,R
19,0,1,0,R,A,R
20,0,0,1,R,C,L
21,0,1,0,R,A,R
22,1,0,0,L,C,R
23,0,1,0,L,B,L
24,0,0,1,R,C,L
25,1,0,0,L,A,L
26,0,1,0,L,B,L
27,0,0,1,R,C,R
28,1,0,0,L,A,L
29,0,0,1,R,B,R
30,1,0,0,L,A,L
31,0,0,1,R,B,R
32,1,0,0,L,A,L
33,0,1,0,L,B,L
34,0,0,1,R,C,R
35,1,0,0,L,A,L
36,0,0,1,R,B,R
37,1,0,0,L,A,L
38,0,0,1,R,B,R
39,0,1,0,R,A,R
