N,L,R,M,E
0,0,1,C,0
1,1,0,D,0
2,0,1,B,0
3,0,1,A,0
4,0,1,B,0
5,0,1,A,0
6,0,1,E,0
7,0,1,C,0
8,0,1,E,0
9,1,0,D,0
10,0,1,A,0
11,0,1,D,0
12,0,1,F,0
13,1,0,D,0
14,1,0,B,0
15,0,1,B,0
16,1,0,A,0
17,1,0,E,0
18,0,1,E,0
19,1,0,D,0
20,0,1,E,0
21,0,1,A,0
22,0,1,C,0
23,1,0,F,0
24,0,1,F,0
25,0,1,F,0
26,1,0,B,0
27,1,0,B,0
28,0,1,A,0
29,0,1,F,0
30,0,1,C,0
31,0,1,C,0
32,1,0,D,0
33,1,0,F,0
34,0,1,C,0
35,0,1,E,0
