N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,R
1,0,1,0,L,B,L
2,0,0,1,R,C,R
3,1,0,0,L,A,L
4,0,0,1,R,B,R
5,1,0,0,L,A,L
6,0,1,0,L,B,L
7,1,0,0,L,C,L
8,0,0,1,R,B,L
9,0,1,0,R,A,R
10,0,0,1,R,C,L
11,1,0,0,L,A,L
12,0,1,0,L,B,L
13,0,0,1,R,C,L
14,1,0,0,L,A,R
15,0,1,0,L,B,L
16,0,0,1,R,C,L
17,0,1,0,R,A,R
18,1,0,0,L,C,R
19,0,0,1,R,B,R
20,0,1,0,R,A,R
21,1,0,0,L,C,R
22,0,1,0,L,B,L
23,0,0,1,R,C,R
24,0,1,0,R,A,R
25,1,0,0,L,C,L
26,0,0,1,R,B,R
27,1,0,0,L,A,R
28,0,1,0,L,B,R
29,1,0,0,L,C,R
30,0,0,1,R,B,R
31,1,0,0,L,A,L
32,0,0,1,R,B,R
33,1,0,0,L,A,L
34,0,0,1,R,B,R
35,1,0,0,L,A,L
36,0,1,0,L,B,R
37,1,0,0,L,C,L
38,0,0,1,R,B,L
39,0,1,0,R,A,L
