N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,L
1,0,0,1,R,B,L
2,0,1,0,R,A,R
3,1,0,0,L,C,R
4,0,1,0,L,B,L
5,0,0,1,R,C,L
6,0,1,0,R,A,R
7,0,0,1,R,C,R
8,0,1,0,R,A,L
9,1,0,0,L,C,L
10,0,0,1,R,B,R
11,0,1,0,R,A,R
12,0,0,1,R,C,R
13,1,0,0,L,A,L
14,0,1,0,L,B,L
15,0,0,1,R,C,L
16,1,0,0,L,A,L
17,0,1,0,L,B,L
18,0,0,1,R,C,L
19,0,1,0,R,A,R
20,1,0,0,L,C,L
21,0,0,1,R,B,R
22,0,1,0,R,A,L
23,0,0,1,R,C,L
24,1,0,0,L,A,R
25,0,0,1,R,B,R
26,0,1,0,R,A,L
27,1,0,0,L,C,R
28,0,0,1,R,B,L
29,0,1,0,R,A,R
30,1,0,0,L,C,R
31,0,0,1,R,B,R
32,0,1,0,R,A,R
33,0,0,1,R,C,L
34,1,0,0,L,A,R
35,0,0,1,R,B,R
36,1,0,0,L,A,L
37,0,1,0,L,B,L
38,1,0,0,L,C,R
39,0,1,0,L,B,R
